gleditsia	NN
star	NN
heavenly_body	NN
exaltation	NN
proclaim	VB
comparable	JJ
equal	JJ
jubilation	NN
walk_on_air	VB
patroller	NN
watchman	NN
concentration	NN
reduce	VB
regeneration	NN
restore	VB
order_cuculiformes	NN
musophagidae	NN
germany	NN
schadenfreude	NN
culmination	NN
culminate	VB
mallee	NN
eucalyptus_tree	NN
leaving	NN
go_away	VB
act	VB
actable	JJ
slope	VB
inclination	NN
sunfish	NN
percoidean	NN
love	NN
love	VB
interview	NN
consult	VB
offspring	NN
materialize	VB
evanescence	NN
pass_off	VB
impressionistic	JJ
impression	NN
suspicion	NN
suspect	VB
nonage	NN
underage	JJ
lustrum	NN
antiquity	NN
spring	VB
unwrap	VB
abstract	VB
take	VB
beech_fern	NN
meclomen	NN
nsaid	NN
viscum	NN
saddam's_martyrs	NN
paramilitary_unit	NN
holder	NN
possessor	NN
lagidium	NN
colloquialism	NN
firewater	NN
escalade	VB
mount	VB
cool	JJ
unfriendly	JJ
south	NN
sunshine_state	NN
people	NN
people	VB
sideritis	NN
genus_fissurella	NN
mollusk_genus	NN
condolence	NN
acknowledgment	NN
chittagong	NN
govern	VB
take	VB
leipzig	NN
crier	NN
yeller	NN
automatic_pistol	NN
automatic_weapon	NN
road_map	NN
map	NN
nonmeaningful	JJ
nonsensicality	NN
toper	NN
fuddle	VB
professionalize	VB
professionalize	VB
sciaena_antarctica	NN
sciaenid_fish	NN
neuroglia	NN
neuroglial_cell	NN
hyla	NN
cobble_up	VB
reconstructive_memory	NN
retrace	VB
stooge	VB
do	VB
sound	NN
sound_property	NN
appointee	NN
official	NN
epilator	NN
cosmetic	NN
help	VB
help	NN
city_limits	NN
limit	NN
paw	NN
extremity	NN
ready	NN
set_up	VB
little_dipper	NN
asterism	NN
weather_map	NN
isotherm	NN
troops	NN
republic_of_mali	NN
african_nation	NN
yellowstone_river	NN
river	NN
compose	VB
compiling	NN
safekeeping	NN
shielder	NN
coach_station	NN
terminus	NN
testator	NN
order_odonata	NN
odonate	NN
barge	VB
transport	VB
petty_jury	NN
jury	NN
exhibition	NN
presentment	NN
model	VB
modeller	NN
hard	JJ
difficulty	NN
worsening	NN
deteriorate	VB
master	VB
mastery	NN
disengagement	NN
disengage	VB
exuberance	NN
enthusiasm	NN
progression	NN
progress	VB
baader_meinhof_gang	NN
terrorist_act	NN
insignia	NN
badge	NN
leader	NN
leadership	NN
overshielding	NN
protection	NN
passer	NN
smatter	VB
undercover_work	NN
intelligence_operation	NN
united_kingdom_of_great_britain_and_northern_ireland	NN
quadrillion	NN
simaroubaceae	NN
simarouba	NN
pusher	NN
push	VB
plaintiff	NN
litigator	NN
weep	VB
cry	NN
precede	VB
chronology	NN
hyperventilation	NN
ventilation	NN
atlantic_ocean	NN
british_isles	NN
jelly	VB
jelly	NN
refrigerate	VB
preserve	VB
brim	VB
rim	NN
signal_caller	NN
quarterback	VB
fencing	NN
fence	VB
rakaposhi	NN
trouble	VB
vexation	NN
smell	NN
smell	VB
sambre_river	NN
commissary	NN
terrorize	VB
terror	NN
ionize	VB
ionization	NN
swim	VB
swimming	NN
suborder_petromyzoniformes	NN
polypodiales	NN
family_blechnaceae	NN
oberson	NN
middle_ages	NN
transfer	VB
transferrer	NN
half_track	NN
military_vehicle	NN
see	VB
meeting	NN
cottager	NN
inhabitant	NN
upgrade	NN
home	NN
sleeping_room	NN
zion	NN
jerusalem	NN
mounter	NN
whoop_it_up	VB
fete	VB
point_after_touchdown	NN
point	NN
genus_formica	NN
wood_ant	NN
clean	JJ
tidy	JJ
transfer	VB
tasteful	JJ
realness	NN
actuality	NN
unjust	JJ
wrong	JJ
order_hyracoidea	NN
procaviidae	NN
disintegrate	VB
physics	NN
transdermic	JJ
pharmacology	NN
country-dance	VB
trip_the_light_fantastic_toe	VB
show	VB
show	VB
lid	NN
top	NN
validation	NN
show	VB
slip	VB
worsen	VB
peripatetic	NN
disciple	NN
riddle	VB
diffusor	NN
whole	NN
unify	VB
scrounge	VB
foraging	NN
power_tool	NN
menticirrhus	NN
fish_genus	NN
hatred	NN
emotion	NN
eon	NN
geological_era	NN
spatiality	NN
property	NN
genus_echinocactus	NN
echinocactus	NN
plunk	VB
go_down	VB
milkweed_family	NN
vincetoxicum	NN
transgression	NN
responsiveness	NN
sensitivity	NN
thespesia_populnea	NN
tulipwood_tree	NN
tomatillo	NN
tomatillo	NN
hole_out	VB
hit	VB
standardize	VB
standard	NN
shadbush	NN
jackson	NN
actress	NN
precedent	NN
predate	VB
personnel	NN
voting_system	NN
law	NN
motown	NN
port	NN
seasnail	NN
univalve	NN
video	NN
sound	NN
impairment	NN
drop	VB
townee	NN
jab	NN
stab	VB
shop_clerk	NN
clerkship	NN
cuculiform_bird	NN
bird	NN
unmanageableness	NN
intractableness	NN
vesiculate	VB
skid	VB
slip	NN
gum_tree	NN
microscope	NN
magnifier	NN
tenderize	VB
tender	JJ
pritzelago	NN
family_room	NN
recreation_room	NN
treat	VB
encompass	VB
kilohertz	NN
hz	NN
want	NN
offer	VB
coriolis_effect	NN
practitioner	NN
professional_person	NN
thirty_years'_war	NN
warfare	NN
viscount_st._albans	NN
philosopher	NN
liberation	NN
try	NN
obstructor	NN
structure	NN
superiority	NN
superior	JJ
submit	VB
submissive	JJ
pontederiaceae	NN
monocot_family	NN
sufficient	JJ
sufficiency	NN
disarming	NN
demobilization	NN
boost	NN
promote	VB
variance	NN
variable	JJ
virgule	NN
punctuation_mark	NN
prison_cell	NN
cellular	JJ
mercy	NN
humaneness	NN
swellhead	NN
self-importance	NN
reasonableness	NN
rational	JJ
precook	VB
preparation	NN
mismarry	VB
wed	VB
genus_abrocoma	NN
rat_chinchilla	NN
gramme	NN
obolus	NN
television_system	NN
event	NN
psychological_feature	NN
siphonophora	NN
physalia	NN
old_man	NN
senior_citizen	NN
precise	JJ
accurate	JJ
filibuster	VB
filibuster	NN
fence	VB
discourse	VB
obnoxiousness	NN
hateful	JJ
zebra_crossing	NN
craftsman	NN
workmanship	NN
triakidae	NN
mustelus	NN
angle	NN
wobble	VB
shifting	NN
explore	VB
exploratory	JJ
hawkshaw	NN
tec	NN
ranunculaceae	NN
genus_caltha	NN
liven_up	VB
vivification	NN
rock_salmon	NN
sustain	VB
victuals	NN
family_acipenseridae	NN
fish_family	NN
score	VB
grader	NN
jaw	NN
masticate	VB
co2	NN
dioxide	NN
casualty	NN
treasure	NN
possession	NN
slate_club	NN
family_compositae	NN
grindelia	NN
mow	NN
mow	VB
engineer	VB
technologist	NN
stambul	NN
kadikoy	NN
plural_form	NN
military_quarters	NN
contrast	VB
line	NN
ram	VB
screw	VB
practice	NN
pattern	VB
represent	VB
theatrical_performance	NN
vibrate	VB
tingle	NN
hatching	NN
hatch	VB
beacon_hill	NN
city_district	NN
dictation	NN
press	VB
east_malaysia	NN
sarawak	NN
market	VB
outscore	VB
vanquish	VB
re-create	VB
copying	NN
north_star_state	NN
st._cloud	NN
lasiocampidae	NN
malacosoma	NN
pervert	NN
vitiate	VB
americanize	VB
american	JJ
mutate	VB
woman's_body	NN
female_body	NN
staff	NN
salix_tristis	NN
willow_tree	NN
west_indies	NN
commonwealth_of_the_bahamas	NN
snare_drum	NN
tympan	NN
flaky	JJ
scrap	NN
city_of_bridges	NN
slavonic_language	NN
balto-slavonic	NN
deflexion	NN
physical_property	NN
vacuum_tube	NN
cathode	NN
hazelnut_tree	NN
hazelnut	NN
testis	NN
vas_deferens	NN
array	VB
stand	VB
cup	NN
cup	VB
rivina	NN
small_indefinite_quantity	NN
indefinite_quantity	NN
pertain	VB
supplement	NN
foul	NN
violation	NN
elaboration	NN
expansion	NN
rate	NN
temper	VB
temper	NN
firepower	NN
strength	NN
order_of_payment	NN
negotiable_instrument	NN
oxidize	VB
rust	VB
cause_to_be_perceived	VB
solidify	VB
solidifying	NN
tussle	VB
struggle	VB
audience	NN
gathering	NN
mint_family	NN
micromeria	NN
squeal	VB
squealer	NN
santiago_de_chile	NN
national_capital	NN
terrorist_organization	NN
sarda	NN
mail	VB
mail	NN
idol	NN
simulacrum	NN
strategic_warning	NN
warning	NN
scratchiness	NN
harsh	JJ
chorus	VB
choir	NN
gauge	VB
gauge	NN
sternness	NN
severity	NN
taxation	NN
government_revenue	NN
walk	VB
tally	VB
yellow_pond_lily	NN
water_lily	NN
unworldly	JJ
dhahran	NN
town	NN
miserliness	NN
tightness	NN
democratic_and_popular_republic_of_algeria	NN
work	VB
work	VB
south_america	NN
south_american	NN
unauthorized_absence	NN
desorb	VB
desorption	NN
sign	NN
signalize	VB
family_catostomidae	NN
surrogate	NN
understudy	VB
armenian	NN
armenian	JJ
viburnum_dentatum	NN
fart	VB
act_reflexively	VB
mulberry_tree	NN
fruit_tree	NN
poverty_trap	NN
situation	NN
come_off	VB
splintering	NN
face	VB
opposition	NN
united_states_department_of_defense	NN
nga	NN
long_island_sound	NN
genus_brassica	NN
mustard	NN
lineage	NN
inheritance	NN
band_of_partisans	NN
first_moment	NN
mean_value	NN
mottle	VB
spot	NN
permutation	NN
transpose	VB
mask	NN
mask	VB
sarcodina	NN
subclass_rhizopoda	NN
suborder_maniraptora	NN
maniraptor	NN
lawyer-client_relation	NN
piece	NN
tack_together	VB
thomas_dekker	NN
playwright	NN
sergei_vasilievich_rachmaninov	NN
piano_player	NN
putoff	NN
table	VB
monologue	NN
words	NN
ruby_wood	NN
wood	NN
archaism	NN
compass	VB
resection	NN
umbelliferae	NN
genus_daucus	NN
legal_action	NN
genus_fortunella	NN
vouch	VB
sustain	VB
pose	VB
imposture	NN
rhyncostylis	NN
striptease	NN
nude_dancing	NN
second_sacker	NN
softball_game	NN
guest_night	NN
eventide	NN
republic_of_colombia	NN
cartagena	NN
zenaidura	NN
bird_genus	NN
save	VB
salvage	NN
abstraction	NN
yellow_jessamine	NN
vine	NN
tidal_flow	NN
stream	NN
gulf_of_mexico	NN
gulf	NN
mib	NN
kilobyte	NN
american	NN
wear_away	VB
wearing_away	NN
yellow_oleander	NN
scotland	NN
ben	NN
city	NN
inculpate	VB
inculpation	NN
womanishness	NN
unmanly	JJ
fornication	NN
mandate	VB
crush	VB
crusher	NN
pay	VB
give	VB
victualler	NN
purvey	VB
thrust	NN
thrust	VB
liquidness	NN
state_of_matter	NN
tennis	NN
return	NN
lilt	VB
sound_out	VB
sicily	NN
messina	NN
transport	NN
instrumentation	NN
verbalize	VB
verbalizer	NN
dissociation	NN
dissociate	VB
recruiter	NN
supplier	NN
genus_erythroxylum	NN
stitchery	NN
stitch	VB
stir	VB
sponge	VB
sponge	NN
godown	NN
scrub_oak	NN
oak_tree	NN
spiritize	VB
spirit	NN
cosign	VB
validate	VB
sperry	NN
inventor	NN
plumiera	NN
frangipanni	NN
cybercrime	NN
offense	NN
turkish_empire	NN
imperium	NN
ostracodermi	NN
dramatization	NN
dramatize	VB
steal	VB
steal_away	VB
perfection	NN
perfectionist	NN
carolinas	NN
tar_heel_state	NN
optic	NN
central_artery_of_the_retina	NN
appalachia	NN
geographical_region	NN
egyptian	NN
african	NN
thread	VB
threader	NN
peanut_oil	NN
relegate	VB
designate	VB
admiralty	NN
emasculate	VB
emasculation	NN
programme_music	NN
piece_of_music	NN
stamp	VB
stamp	NN
pieridae	NN
shop	VB
obtain	VB
hater	NN
relief	NN
still	VB
shame	VB
dishonour	NN
nj	NN
delaware_bay	NN
ear	NN
sensory_receptor	NN
emersion	NN
emerge	VB
bridle	VB
restrain	VB
limping	NN
limp	VB
insincere	JJ
false	JJ
performing_arts	NN
social_climber	NN
upstart	NN
computer_memory_unit	NN
unit_of_measurement	NN
invitation	NN
invite	VB
sweet_grass	NN
meadowgrass	NN
mycobacterium	NN
true_bacteria	NN
tend	VB
take_care	VB
switzerland	NN
rocephin	NN
mefoxin	NN
air_force_research_laboratory	NN
office	NN
suffocate	VB
kill	VB
stichaeidae	NN
lumpenus	NN
divulgence	NN
spanish_needles	NN
sticktight	NN
military_formation	NN
utile	JJ
helpful	JJ
twist	VB
shape	VB
carbon_steel	NN
steel	NN
quadrivium	NN
passport	NN
intensiveness	NN
intensify	VB
entozoic	JJ
entozoon	NN
division_eubacteria	NN
order_eubacteriales	NN
tetraodontidae	NN
pufferfish	NN
process	NN
operate	VB
wild_rape	NN
weed	NN
metric_unit	NN
take	VB
picture_show	NN
accompany	VB
chaplain	NN
chaplainship	NN
slash	NN
terra_firma	NN
thrusting	NN
misreckoning	NN
misestimate	VB
subsistence	NN
survive	VB
perform	VB
worker	NN
guy_fawkes_day	NN
november_5	NN
tarantino	NN
movie_maker	NN
thunder	NN
heroin	NN
uttermost	NN
limit	NN
tights	NN
filicopsida	NN
family_dryopteridaceae	NN
pezizaceae	NN
fungus_family	NN
low_gear	NN
gear_mechanism	NN
empress	NN
emperor	NN
pineapple_family	NN
tillandsia	NN
daub	NN
smear	VB
foetal_movement	NN
movement	NN
ventilate	VB
ventilation	NN
bend	VB
smiler	NN
aggro	NN
trigger	NN
trip	VB
purchase	VB
stock_up	VB
store	VB
combine	VB
tamias_striatus	NN
squirrel	NN
override	VB
override	NN
dispatcher	NN
employee	NN
think_of	VB
reputation	NN
colt	NN
foal	NN
tantalum	NN
metallic_element	NN
taking_hold	NN
hold_on	VB
hoopoo	NN
coraciiform_bird	NN
scorer	NN
lumberman	NN
lessen	VB
step-down	NN
supplant	VB
genus_carlina	NN
malvaceae	NN
thespesia	NN
slay	VB
murderer	NN
travesty	NN
spoof	VB
inconstant	JJ
inconstancy	NN
stamp	VB
imprint	VB
thoroughbred	NN
vigna_unguiculata	NN
cowpea	NN
wonder	VB
question	NN
rugger	NN
knock_on	NN
valvule	NN
valve	NN
lump	NN
piece	NN
luxemburger	NN
european	NN
unfavourable	JJ
negative	JJ
seaport	NN
anchorage_ground	NN
approbation	NN
commendation	NN
train	VB
work_out	VB
paint	VB
painting	NN
placate	VB
conciliation	NN
thessaloniki	NN
sophistication	NN
twist_around	VB
shoot_one's_mouth_off	VB
genus_balanus	NN
rock_barnacle	NN
gum	NN
animal_tissue	NN
montia	NN
indian_lettuce	NN
shallot	NN
onion_plant	NN
ethical_code	NN
principle	NN
whirl	VB
whirl	NN
syntax	NN
grammar	NN
stoppage	NN
check	VB
women's_liberation_movement	NN
women's_rightist	NN
drive	VB
take	VB
burglar	NN
thief	NN
superorder_malacopterygii	NN
raoulia	NN
vegetable_sheep	NN
cavum	NN
structure	NN
handrail	NN
barrier	NN
trichosurus	NN
injunction	NN
proscription	NN
run	VB
run	NN
shifter	NN
shift	VB
domestic_goat	NN
goat	NN
suborder_blennioidea	NN
family_anarhichadidae	NN
distress_signal	NN
signaling	NN
hellenic_republic	NN
balkan_state	NN
palliative	NN
therapeutic	NN
suffocation	NN
salmon_portland_chase	NN
politico	NN
shine	NN
shine	VB
decline	NN
monosemy	NN
pellucidity	NN
markup_language	NN
terminology	NN
trawler	NN
haul	VB
oscillation	NN
vibrate	VB
numerate	VB
tally	NN
communize	VB
commune	NN
solar_system	NN
jupiter	NN
musical_harmony	NN
harmonious	JJ
missive	NN
ps	NN
touch	VB
tincture	NN
desire	NN
feeling	NN
tip_off	VB
rede	VB
santalales	NN
santalaceae	NN
vote	NN
franchise	NN
latimeria_chalumnae	NN
lobefin	NN
genus_elsholtzia	NN
genus_athyrium	NN
coming_attraction	NN
working_girl	NN
prostitute	VB
compound	VB
lebanon	NN
tabooli	NN
mare	NN
horse	NN
encephalon	NN
brain_cell	NN
great_britain	NN
fingerprint	NN
print	NN
pitch	NN
throw	NN
slack	VB
slacker	NN
genus_gastrophryne	NN
western_narrow-mouthed_toad	NN
hebrew_script	NN
qoph	NN
stations_of_the_cross	NN
series	NN
saxifrage_family	NN
genus_chrysosplenium	NN
care	NN
care	VB
scientific_knowledge	NN
scientific_discipline	NN
division_bryophyta	NN
musci	NN
venturesomeness	NN
hardiness	NN
federative_republic_of_brazil	NN
triple_frontier	NN
spue	VB
spit_up	VB
slagheap	NN
pile	NN
educational_institution	NN
institution	NN
security_force	NN
fissipedia	NN
placental_mammal	NN
leo_xiii	NN
vicar_of_christ	NN
papua_new_guinea	NN
bismarck_archipelago	NN
trespass	VB
violate	VB
sweet_flag	NN
calamus	NN
second	NN
time	NN
wrap_up	VB
wrapping	NN
high-low-jack	NN
cards	NN
pickaxe	NN
edge_tool	NN
sir_james_murray	NN
philologue	NN
reapportion	VB
apportion	VB
rationalize	VB
trim_down	VB
wash_out	VB
withdraw	VB
turn_over	VB
world	NN
extraterrestrial_object	NN
venous_blood_vessel	NN
blood_vessel	NN
intractable	JJ
disobedient	JJ
wave	VB
move	VB
trade_name	NN
isosorbide	NN
giving	NN
donation	NN
wee-wee	VB
urination	NN
rue	VB
repentant	JJ
talk	VB
packer	NN
rucksack	NN
catalogue	VB
sort_out	VB
subfamily_emberizinae	NN
plectrophenax	NN
sermon	NN
sermonize	VB
puppeteer	NN
puppet	NN
interest_group	NN
captainship	NN
skipper	NN
antitype	NN
variety	NN
hydrangeaceae	NN
rosid_dicot_family	NN
eastern_united_states	NN
appalachians	NN
roundhead	NN
anaerobe	NN
organism	NN
continuation	NN
continue	VB
fight	NN
military_action	NN
poster	NN
ordnance	NN
gun	VB
selflessness	NN
selfless	JJ
istiophoridae	NN
billfish	NN
barricade	VB
occlude	VB
lonas	NN
noctuidae	NN
vetchworm	NN
mysticism	NN
mystical	JJ
tannin	NN
phenol	NN
tarsiidae	NN
mammal_family	NN
sphyrnidae	NN
caribbean	NN
jamaica	NN
lithophragma	NN
lugh	NN
celtic_deity	NN
implication	NN
attractiveness	NN
young_fish	NN
young	NN
market	VB
market	NN
stinging	NN
twinge	VB
paramour	NN
mistress	NN
order_lepidoptera	NN
gluteus_muscle	NN
striated_muscle	NN
offensiveness	NN
offensive	JJ
rent	VB
renter	NN
social_reformer	NN
momotidae	NN
shoot	NN
spud	VB
poeciliidae	NN
platypoecilus	NN
coat_of_paint	NN
coating	NN
queer_duck	NN
unusual_person	NN
ordinate	VB
ordainer	NN
upper_deck	NN
deck	NN
hypermastigote	NN
mastigophore	NN
wipe_out	VB
wipeout	NN
vietnam	NN
asian_nation	NN
term_of_office	NN
term	NN
